ou,ou_equiv
25,26.1031643
25.5,26.40173622
26,26.8388079
26.5,27.29394594
27,28.08419317
27.5,28.86771119
28,29.24707385
28.5,29.60837471
29,30.07769863
29.5,30.52634042
30,31.1431752
30.5,31.71812418
31,32.3251127
31.5,32.87031364
32,33.16631429
32.5,33.44248714
33,34.03666504
33.5,34.58079879
34,35.23867386
34.5,35.8206115
35,36.2812807
35.5,36.68918599
36,37.04153091
36.5,37.36546584
37,38.07505281
37.5,38.70825662
38,39.31485439
38.5,39.84173131
39,40.19942826
39.5,40.52265805
40,40.94749715
40.5,41.33768121
41,42.03476944
41.5,42.66127191
42,43.06389201
42.5,43.43158771
43,43.85322727
43.5,44.24650593
44,44.91719335
44.5,45.53346715
45,46.16448791
45.5,46.73066778
46,47.04410508
46.5,47.33774225
47,47.79935827
47.5,48.23588104
48,48.82433671
48.5,49.37876112
49,49.89317976
49.5,50.37695251
50,50.75780478
50.5,51.12416736
51,51.72286158
51.5,52.29865568
52,52.88915332
52.5,53.44882915
53,53.82470013
53.5,54.18665627
54,54.58783801
54.5,54.98266769
55,55.75792284
55.5,56.50707168
56,56.9264636
56.5,57.32672278
57,57.78270562
57.5,58.22292051
58,58.81823374
58.5,59.38867753
59,59.9352037
59.5,60.45127343
60,60.77594526
60.5,61.08839864
61,61.60598077
61.5,62.10617728
62,62.58933645
62.5,63.05398936
63,63.49355831
63.5,63.91728588
64,64.3178775
64.5,64.70755502
65,65.33462457
65.5,65.93554419
66,66.52768181
66.5,67.0783644
67,67.43441371
67.5,67.76920844
68,68.13566759
68.5,68.48591143
69,69.14527316
69.5,69.76221672
70,70.16876859
70.5,70.54863087
71,71.00383757
71.5,71.43077869
72,72.01767858
72.5,72.55986286
73,73.08430999
73.5,73.56346195
74,73.86820083
74.5,74.15635148
75,74.58879177
75.5,74.99999411
76,75.54781008
76.5,76.0655274
77,76.67938751
77.5,77.24832373
78,77.57519827
78.5,77.88592316
79,78.52371659
79.5,79.11951383
80,79.69651344
80.5,80.22620528
81,80.55865561
81.5,80.872959
82,81.29364059
82.5,81.69617682
83,82.41046597
83.5,83.07815756
84,83.48384504
84.5,83.86495153
85,84.359141
85.5,84.82519201
86,85.28812205
86.5,85.72755879
87,86.32077947
87.5,86.8782164
88,87.12390747
88.5,87.36386874
89,87.9893087
89.5,88.59392676
90,89.15677305
90.5,89.69162667
91,90.23768579
91.5,90.75167592
92,91.3209709
92.5,91.85072856
93,92.54776028
93.5,93.17716872
94,93.6012485
94.5,93.98772664
95,94.41107643
95.5,94.80239244
96,95.13092253
96.5,95.44411554
97,96.32303626
97.5,97.12213809
98,97.45019834
98.5,97.75415047
99,98.16337829
99.5,98.54621624
100,99.37953188